"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-606",1000,1000,1,0.3,6,12,0.5,12.8289394057987,6.34640968168066,0.505305194690368,6.20891211488361,0.516022960395528,6.35416718215244,0.516022960395528,6.25201722732954,0.512662970057867
"4-607",1000,1000,1,0.3,6,12,0.5,11.0920292152925,6.06109599312798,0.453562925639288,6.05540966266809,0.454075575790989,6.07514173810138,0.454075575790989,6.05610889643748,0.4540125364899
"4-608",1000,1000,1,0.3,6,12,0.5,12.1210715290174,6.16879186187796,0.491068768374965,6.08518853483255,0.497966122857633,6.18043806913055,0.497966122857633,6.09881882843971,0.496841610591987
"4-609",1000,1000,1,0.3,6,12,0.5,12.1308558995841,6.21239629117607,0.487884750869963,6.15450654308035,0.492656858343246,6.24634490478935,0.492656858343246,6.19812823745781,0.489060929520206
"4-610",1000,1000,1,0.3,6,12,0.5,12.1057070378629,6.28327478491846,0.480965897715325,6.13627384649344,0.493109008230494,6.26072691125977,0.493109008230494,6.16021985637414,0.491130932120953
"4-611",1000,1000,1,0.3,6,12,0.5,11.9868604034988,6.47565376689432,0.459770653122467,6.38495880476741,0.467336851365706,6.33997583575218,0.467336851365706,6.44040291327258,0.462711444325095
"4-612",1000,1000,1,0.3,6,12,0.5,11.6672786252018,6.13073554917698,0.474535943974601,6.13374818455999,0.474277731628793,6.20345348397511,0.474277731628793,6.20682234985253,0.468014560272389
"4-613",1000,1000,1,0.3,6,12,0.5,12.3225918369552,6.23267460184627,0.494207494306952,6.2183654934307,0.495368703621105,6.15930783551356,0.495368703621105,6.23245781750682,0.494225086737369
"4-614",1000,1000,1,0.3,6,12,0.5,11.7259939729428,6.16832521133133,0.473961420621189,6.099849740746,0.479801050996519,6.14763489807768,0.479801050996519,6.14742431603558,0.475743861866169
"4-615",1000,1000,1,0.3,6,12,0.5,11.8403966722943,6.08125666602278,0.486397556236229,6.12655425052723,0.482571874904923,6.2102683653442,0.482571874904923,6.14207272380987,0.481261236949782
"4-616",1000,1000,1,0.3,6,12,0.5,11.4167969238713,6.33941159105846,0.444729407614893,6.25813664936362,0.451848299387847,6.2689972864139,0.451848299387847,6.28779041055702,0.449250919282803
"4-617",1000,1000,1,0.3,6,12,0.5,11.7834047406833,6.12080772603814,0.48055694761078,6.04880180379997,0.486667738491922,6.07309551911575,0.486667738491922,6.11606450678485,0.480959481458821
"4-618",1000,1000,1,0.3,6,12,0.5,12.4112764768961,6.45913989344083,0.479574892601522,6.31826336835636,0.490925580449522,6.48179653532367,0.490925580449522,6.3316113575656,0.48985010773452
"4-619",1000,1000,1,0.3,6,12,0.5,11.7179683248514,6.27294118826578,0.464673310734066,6.21918214112206,0.469261055439751,6.26611509303232,0.469261055439751,6.22002251714341,0.469189338568869
"4-620",1000,1000,1,0.3,6,12,0.5,11.62952035943,6.23333157084933,0.464007854305451,6.17636040469767,0.468906694875902,6.2612489265592,0.468906694875902,6.18360838651538,0.468283454914691
